东湖湾一期$望京$3$2$148.33$ 简装 $ 中楼层$2007$ 板楼$124722$41
天鸿美域$青塔$5$2$213.63$ 精装 $ 底层$2006$ 板楼$65066$57
东花市北里西区$东花市$2$2$133.21$ 简装 $ 6层 $1995$ 板楼$97516$46
中海瓦尔登湖$沙河$5$3$497.71$ 精装 $ 底层$2008$ 板楼$60277$4
恋日嘉园二期$草桥$4$2$188.4$ 精装 $ 中楼层$2003$ 板楼$76964$54
华腾园$双井$3$2$128.53$ 简装 $ 中楼层$2002$ 塔楼$65044$54
中海九号公馆二区$科技园区$4$2$212.77$ 精装 $ 18层 $2011$ 板楼$80839$29
华腾园$双井$3$1$116.03$ 简装 $ 中楼层$2001$ 塔楼$70069$25
亿城天筑$科技园区$3$2$141.91$ 毛坯 $ 中楼层$2007$ 板楼$58418$36
金泰丽湾悦栖山$大峪$3$2$131.7$ 精装 $ 低楼层$2015$ 板楼$41610$13
融泽嘉园中路1号院$回龙观$2$1$97.99$ 精装 $ 底层$2014$ 板楼$56027$7
志强北园$小西天$2$1$60.8$ 毛坯 $ 高楼层$1994$ 板楼$100165$19
苹果园小区一区$苹果园$2$1$55.38$ 简装 $ 底层$2000$ 板塔结合$52366$13
矩阵三期$回龙观$2$1$95.47$ 简装 $ 高楼层$2008$ 板楼$57610$14
柏林爱乐一期$常营$1$1$64.03$ 精装 $ 中楼层$2002$ 板楼$65595$7
西山枫林三期$苹果园$3$1$126.54$ 简装 $ 底层$2006$ 板楼$48997$14
六建$五棵松$3$1$74.8$ 简装 $ 底层$1980$ 板楼$91979$7
北大地三里16号院$北大地$4$2$103.59$ 简装 $ 顶层$2005$ 板楼$57438$14
新风街甲1号$马甸$3$2$128.3$ 精装 $ 14层 $1998$ 板楼$146532$14
清缘东里$清河$3$1$100.33$ 精装 $ 顶层$2004$ 板楼$74754$28
金鱼池西区$天坛$3$2$125.43$ 精装 $ 中楼层$2003$ 板楼$78929$71
杨庄北区$杨庄$3$1$125.62$ 精装 $ 中楼层$2001$ 塔楼$48958$13
冠英园小区$官园$3$2$135.8$ 精装 $ 底层$1998$ 板楼$178866$30
欧郡香水城$怀柔$5$2$345.86$ 精装 $ 2层  $0$nan$26023$5
华林家园$看丹桥$2$1$93.11$ 精装 $ 高楼层$2003$ 板楼$48330$86
京铁家园$五棵松$3$1$139.59$ 精装 $ 低楼层$2002$ 塔楼$46207$15
团结湖公寓$团结湖$4$2$208.69$ 简装 $ 高楼层$2000$ 塔楼$51752$13
万年花城二期$玉泉营$3$2$120.56$ 精装 $ 中楼层$2005$ 板楼$75647$38
首开璞瑅$方庄$4$2$180.39$ 精装 $ 高楼层$2011$ 板楼$91192$38
永安东里$定慧寺$3$2$128.3$ 简装 $ 中楼层$1998$ 板楼$89634$22
牛街东里$牛街$2$1$53.89$ 精装 $ 低楼层$2000$ 板楼$103916$91
融科橄榄城一期$望京$3$2$153.48$ 简装 $ 中楼层$2006$ 板塔结合$112067$57
富强东里$黄村中$2$1$53.46$ 简装 $ 中楼层$1978$ 板楼$35541$53
宏大北园$西红门$2$1$105.82$ 简装 $ 中楼层$2006$ 板楼$37706$13
八角北路$八角$2$1$58.46$ 精装 $ 底层$1985$ 板楼$49607$15
瑞海家园五区$西红门$3$2$109.36$ 精装 $ 中楼层$2004$ 板楼$45721$9
天天家园$永定门$2$1$106.6$ 简装 $ 低楼层$2002$ 塔楼$74954$27
新里西斯莱公馆$高米店$3$2$134.74$ 精装 $ 高楼层$2012$ 板楼$56405$25
定慧西里$定慧寺$2$1$61.3$ 简装 $ 14层 $1995$ 板塔结合$74715$117
椿树园$宣武门$2$1$67.36$ 简装 $ 高楼层$1999$ 塔楼$132869$42
西马道$怀柔$3$1$73.36$ 简装 $ 低楼层$0$nan$33397$2
晨新园$马家堡$2$2$76.24$ 简装 $ 底层$1998$ 板楼$66895$8
百子湾家园二区$百子湾$2$1$103.07$ 简装 $ 顶层$2006$ 板塔结合$55788$10
