金泰丽湾悦栖山 户型方正南北通透三居室 诚心出售$金泰丽湾悦栖山$大峪$3室1厅 $ 131.7平米 $ 南 北 $ 简装 $ 低楼层(共19层) $ 2015年建 $ 板楼$40,471元/平$6人关注 $ 4天以前发布
宏福园小区南北通透两居室，有钥匙，看房方便$宏福园$西红门$2室1厅 $ 74.81平米 $ 南 北 $ 其他 $ 低楼层(共6层) $ 1998年建 $ 板塔结合$42,776元/平$6人关注 $ 5天以前发布
丰台区科学城丰泽街1号院 南北通透 格局方正$丰泽居一号院$科技园区$2室1厅 $ 53.79平米 $ 南 北 $ 简装 $ 顶层(共6层) $ 1998年建 $ 板楼$53,914元/平$14人关注 $ 6天以前发布
望都家园 顶层复式  满五年唯一$望都家园$北七家$3室2厅 $ 167.78平米 $ 南 北 $ 简装 $ 高楼层(共6层) $ 2002年建 $ 板楼$29,801元/平$12人关注 $ 6天以前发布
商品房 带电梯 采光足，视野好，95年建成 业主诚售。$翠微中里$公主坟$2室1厅 $ 55.32平米 $ 西 $ 精装 $ 中楼层(共16层) $ 1995年建 $ 塔楼$86,407元/平$19人关注 $ 2天以前发布
枣园尚城北区 2室1厅 南$枣园尚城北区$枣园$2室1厅 $ 82.44平米 $ 南 $ 简装 $ 高楼层(共12层) $ 2009年建 $ 板塔结合$43,669元/平$30人关注 $ 4天以前发布
户型方正南北通透，落地窗，万达商圈$天时名苑$通州北苑$3室1厅 $ 123.51平米 $ 南 北 $ 简装 $ 中楼层(共29层) $ 2010年建 $ 板塔结合$43,803元/平$35人关注 $ 7天以前发布
银地家园，南四环西路，板楼住宅$银地家园$花乡$2室1厅 $ 69.4平米 $ 南 北 $ 简装 $ 底层(共7层) $ 1999年建 $ 板楼$46,830元/平$19人关注 $ 6天以前发布
华严北里全明格局两居  满五年分房  电梯直达 无遮挡$华严北里小区$健翔桥$2室1厅 $ 65.28平米 $ 西北 $ 简装 $ 高楼层(共18层) $ 1992年建 $ 塔楼$90,380元/平$12人关注 $ 7天以前发布
都市经典家园 东南角采光视野棒，诚意出售，看房方便$都市经典家园$甘露园$2室1厅 $ 103.4平米 $ 东南 $ 简装 $ 低楼层(共24层) $ 2003年建 $ 塔楼$67,602元/平$13人关注 $ 5天以前发布
车道沟10号院南北通透两室层高2.8米间距大采光视野好$车道沟10号院$紫竹桥$2室1厅 $ 60.8平米 $ 南 北 $ 精装 $ 中楼层(共5层) $ 1986年建 $ 板楼$110,198元/平$16人关注 $ 6天以前发布
